Fecha;Tipo;Letra;PDV;Numero;Cliente;Doc.Cliente;Neto;Alic.IVA;IVA;Imp.Int.;Percep.IIBB;Provincia;TOTAL;Forma Pago
02/03/2023;FACTURA;B;2;1;CONSUMIDOR FINAL;;1.65;21;0.35;;;;2;EFECTIVO
02/03/2023;FACTURA;B;2;2;CONSUMIDOR FINAL;;8.26;21;1.74;;;;10;EFECTIVO
03/03/2023;FACTURA;B;2;3;CONSUMIDOR FINAL;;0.83;21;0.17;;;;1;EFECTIVO
03/03/2023;FACTURA;B;2;4;CONSUMIDOR FINAL;;8.26;21;1.74;;;;10;EFECTIVO
03/03/2023;FACTURA;B;2;5;CONSUMIDOR FINAL;;371.9;21;78.1;;;;450;EFECTIVO
03/03/2023;FACTURA;B;2;6;CONSUMIDOR FINAL;;165.29;21;34.71;;;;200;EFECTIVO
03/03/2023;FACTURA;B;2;7;CONSUMIDOR FINAL;;909.09;21;190.91;;;;1100;MERCADOPAGO
03/03/2023;FACTURA;B;2;8;CONSUMIDOR FINAL;;495.87;21;104.13;;;;600;EFECTIVO
03/03/2023;FACTURA;B;2;9;CONSUMIDOR FINAL;;495.87;21;104.13;;;;600;TARJETA DE DEBITO
03/03/2023;FACTURA;B;2;10;CONSUMIDOR FINAL;;537.19;21;112.81;;;;650;MERCADOPAGO
03/03/2023;FACTURA;B;2;11;CONSUMIDOR FINAL;;330.58;21;69.42;;;;400;MERCADOPAGO
03/03/2023;FACTURA;B;2;12;CONSUMIDOR FINAL;;495.87;21;104.13;;;;600;EFECTIVO
03/03/2023;FACTURA;B;2;13;CONSUMIDOR FINAL;;495.87;21;104.13;;;;600;TARJETA DE CREDITO
03/03/2023;FACTURA;B;2;14;CONSUMIDOR FINAL;;413.22;21;86.78;;;;500;MERCADOPAGO
03/03/2023;FACTURA;B;2;15;CONSUMIDOR FINAL;;578.51;21;121.49;;;;700;MERCADOPAGO
03/03/2023;FACTURA;B;2;16;CONSUMIDOR FINAL;;1074.38;21;225.62;;;;1300;MERCADOPAGO
03/03/2023;FACTURA;B;2;17;CONSUMIDOR FINAL;;826.45;21;173.55;;;;1000;TARJETA DE DEBITO
04/03/2023;FACTURA;B;2;18;CONSUMIDOR FINAL;;661.16;21;138.84;;;;800;MERCADOPAGO
04/03/2023;FACTURA;B;2;19;CONSUMIDOR FINAL;;2355.37;21;494.63;;;;2850;TARJETA DE CREDITO
04/03/2023;FACTURA;B;2;20;CONSUMIDOR FINAL;;413.22;21;86.78;;;;500;TARJETA DE DEBITO
04/03/2023;FACTURA;B;2;21;CONSUMIDOR FINAL;;743.8;21;156.2;;;;900;TARJETA DE DEBITO
04/03/2023;FACTURA;B;2;22;CONSUMIDOR FINAL;;2603.31;21;546.69;;;;3150;TARJETA DE DEBITO
04/03/2023;FACTURA;B;2;23;CONSUMIDOR FINAL;;661.16;21;138.84;;;;800;TARJETA DE DEBITO
04/03/2023;FACTURA;B;2;24;CONSUMIDOR FINAL;;991.74;21;208.26;;;;1200;MERCADOPAGO
04/03/2023;FACTURA;B;2;25;CONSUMIDOR FINAL;;991.74;21;208.26;;;;1200;MERCADOPAGO
04/03/2023;FACTURA;B;2;26;CONSUMIDOR FINAL;;247.93;21;52.07;;;;300;MERCADOPAGO
04/03/2023;FACTURA;B;2;27;CONSUMIDOR FINAL;;3966.94;21;833.06;;;;4800;MERCADOPAGO
04/03/2023;FACTURA;B;2;28;CONSUMIDOR FINAL;;1487.6;21;312.4;;;;1800;MERCADOPAGO
04/03/2023;FACTURA;B;2;29;CONSUMIDOR FINAL;;826.45;21;173.55;;;;1000;TARJETA DE CREDITO
04/03/2023;FACTURA;B;2;30;CONSUMIDOR FINAL;;454.55;21;95.45;;;;550;MERCADOPAGO
04/03/2023;FACTURA;B;2;31;CONSUMIDOR FINAL;;909.09;21;190.91;;;;1100;MERCADOPAGO
04/03/2023;FACTURA;B;2;32;CONSUMIDOR FINAL;;413.22;21;86.78;;;;500;MERCADOPAGO
04/03/2023;FACTURA;B;2;33;CONSUMIDOR FINAL;;330.58;21;69.42;;;;400;EFECTIVO
04/03/2023;FACTURA;B;2;34;CONSUMIDOR FINAL;;3884.3;21;815.7;;;;4700;MERCADOPAGO
04/03/2023;FACTURA;B;2;35;CONSUMIDOR FINAL;;371.9;21;78.1;;;;450;MERCADOPAGO
04/03/2023;FACTURA;B;2;36;CONSUMIDOR FINAL;;371.9;21;78.1;;;;450;MERCADOPAGO
04/03/2023;FACTURA;B;2;37;CONSUMIDOR FINAL;;578.51;21;121.49;;;;700;TARJETA DE DEBITO
