Indice,CODIGO,NOMBRE,CANTIDAD,COSTO-UNIT,VALOR-IVA,PRECIO-UNIT,TOTALES
650,"7,79217E+12",GATORADE COOL BLUE 500ML,2193.0,1239.67,260.33,1500.0,3289500.0
46,"7,7928E+12",AGUA ECO DE LOS ANDES 500ML,1822.0,413.22,86.78,500.0,911000.0
1239,1577,RECARGO DE CIGARRILLOS,1601.0,413.22,86.78,500.0,800500.0
699,"7,79315E+12",HEINEKEN 473,1099.0,2066.12,433.88,2500.0,2747500.0
1231,"7,7928E+12",QUILMES CLASICA 473CM,1033.0,1570.25,329.75,1900.0,1962700.0
402,"7,7909E+12","COCA COLA 2,25LT",1006.0,3305.79,694.21,4000.0,4024000.0
255,"7,7928E+12",BRAHMA CHOPP 473,988.0,1570.25,329.75,1900.0,1877200.0
253,"7,7928E+12",BRAHMA 1LT,962.0,2396.69,503.31,2900.0,2789800.0
651,"7,79217E+12",GATORADE COOL BLUE 750ML,767.0,1404.96,295.04,1700.0,1303900.0
655,"7,79217E+12",GATORADE MANZANA 500ML,758.0,1239.67,260.33,1500.0,1137000.0
1230,"7,7928E+12",QUILMES CLASICA 1LT,630.0,2314.05,485.95,2800.0,1764000.0
401,"7,7909E+12","COCA COLA 1,5LT",575.0,2727.27,572.73,3300.0,1897500.0
652,"7,79217E+12",GATORADE FRU TRO 500ML,574.0,1239.67,260.33,1500.0,861000.0
254,"7,7928E+12",BRAHMA 473 CM,573.0,1570.25,329.75,1900.0,1088700.0
47,"7,79811E+12",AGUA MANAOS CORAZON ARGENTINO,538.0,247.93,52.07,300.0,161400.0
1535,"7,79033E+12",Yerba AGUANTADORA SUAVE 1Kg,534.0,2479.34,520.66,3000.0,1602000.0
696,"7,79315E+12",HEINEKEN 1LT,508.0,2892.56,607.44,3500.0,1778000.0
409,"7,7909E+12","COCA COLA RETORNABLE 1,5LT",479.0,2066.12,433.88,2500.0,1197500.0
1449,77951113,TOPLINE7 FRUTILLA,448.0,495.87,104.13,600.0,268800.0
1362,"7,79812E+12",SPEED 473ML,418.0,2066.12,433.88,2500.0,1045000.0
1450,77931764,TOPLINE7 MENTA,404.0,495.87,104.13,600.0,242400.0
407,"7,7909E+12",COCA COLA 500ML,393.0,1322.31,277.69,1600.0,628800.0
45,"7,79816E+12",AGUA DE LAS MISIONES S/G X 500,367.0,495.87,104.13,600.0,220200.0
907,77947550,MARLBORO FOREST FUSION BOX 20,355.0,2867.77,602.23,3470.0,1231850.0
717,H1,HIELO EN PORRON,351.0,1239.67,260.33,1500.0,526500.0
566,78400924,Eight Box 20,345.0,826.45,173.55,1000.0,345000.0
272,"7,79315E+12",BUDWEISER 473cm,339.0,1570.25,329.75,1900.0,644100.0
320,"7,7909E+12","CEPITA DURAZNO 1,5LT",317.0,2396.69,503.31,2900.0,919300.0
656,"7,79217E+12",GATORADE MANZANA 750ML,308.0,1404.96,295.04,1700.0,523600.0
1377,"7,7928E+12",STELLA ARTOIS 473cm,291.0,2066.12,433.88,2500.0,727500.0
386,MISTER,CHUPETIN MISTER POP,286.0,165.29,34.71,200.0,57200.0
484,"7,7928E+12",CORONA 330CM,284.0,2066.12,433.88,2500.0,710000.0
305,bhyte,caramelo,280.0,41.32,8.68,50.0,14000.0
823,"7,79916E+12",LEVITE POMELO 2.25L,274.0,1652.89,347.11,2000.0,548000.0
317,"7,7909E+12","CEPITA ANANA 1,5LT",268.0,2396.69,503.31,2900.0,777200.0
903,77918482,MARLBORO BOX 20,264.0,2991.74,628.26,3620.0,955680.0
1494,77940131,Turron De Mani 25g,263.0,123.97,26.03,150.0,39450.0
720,"7,79004E+12",HOGAREï¿½AS SALVADO 200G,257.0,826.45,173.55,1000.0,257000.0
278,"7,79563E+12",CABARCENO PATERO 1250,257.0,2727.27,572.73,3300.0,848100.0
660,"7,79217E+12",GATORADE UVA 500ML,253.0,1239.67,260.33,1500.0,379500.0
1236,"7,7928E+12",QUILMES stout 473CM,249.0,1652.89,347.11,2000.0,498000.0
714,1540,HIELO BOLSA CHICA X 1 KG,244.0,1239.67,260.33,1500.0,366000.0
816,"7,79806E+12","Levite Manzana 1,5lt",236.0,991.74,208.26,1200.0,283200.0
649,"7,79217E+12","GATORADE COOL BLUE 1,5LT",233.0,1487.6,312.4,1800.0,419400.0
731,"7,79315E+12",IMPERIAL GOLDEN 473CM,227.0,1487.6,312.4,1800.0,408600.0
1350,"7,79125E+12",SMIRNOFF RED BERRIES 473 ML,227.0,1652.89,347.11,2000.0,454000.0
1443,77916426,TOPLINE MENTA,226.0,247.93,52.07,300.0,67800.0
